Name,Address,Country,Phone,Star_Rating,Price,Status
Park Inn By Radisson York City Centre,York City Centre - Train Station,United Kingdom,44 1904 459988,3.5,128.64,AVAILABLE
Mercure York Fairfield Manor Hotel,Rawcliffe,United Kingdom,44 844 8159038,4,77.04,AVAILABLE
"Lamb & Lion Hotel, Sure Hotel Collection by Best Western",York City Centre - Old Town,United Kingdom,4401904654112,4,121.92,AVAILABLE
Park Inn By Radisson York City Centre,York City Centre - Train Station,United Kingdom,44 1904 459988,3.5,128.64,AVAILABLE
Blue Sea Costa Jardin & Spa,Puerto De La Cruz,Spain,+34 922 38 51 51,4,43.52,AVAILABLE
"The Grand, York",York City Centre - Train Station,United Kingdom,+44 1904 380038,5,192.39,AVAILABLE
Blue Sea Costa Jardin & Spa,Puerto De La Cruz,Spain,+34 922 38 51 51,4,43.52,AVAILABLE
